Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,17.063093344159746
30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20.430094772882978
,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,13.755137066510976
35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,16.46613664022368
25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,17.287005375714283
,,,,3,Meal,scooter,0.0,No,Metropolitian,37,13.603846730922424
26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,9.11569914067744
37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,16.710789728068644
32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,6.113378430564671
37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,6.206719187784788
32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,19.748391290343285
20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,3.0275385421991876
28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,11.71244305259404
37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,7.678353234694444
30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,12.09269049365427
34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,12.456136991240736
20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,6.142824430338614
22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,7.557519540354728
39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,6.033683592261359
26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,13.779146742239117
31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,13.961236991050118
35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,7.644703614683409
22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,6.033325753978956
38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,5.870941971737417
22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,13.397933236942613
24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,4.4619921184168465
30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,12.34482053809486
36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,10.420668336220329
38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20.240868265702492
34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,16.624779036384027
24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,7.337870916790996
21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,13.672337908559381
33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,14.013492134374223
30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,6.238623757359331
22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,6.049859716386578
20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,6.048189737616337
25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,13.760073888440576
25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,7.857731631182655
34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,17.127070178101405
21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,11.000823613167864
21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,7.558231893208022
22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,12.23580891776874
24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,1.5193943468593425
28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,14.012923043147737
27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20.8742172298283
23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,13.39882092124296
22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,12.427998283271004
36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,4.607239437909168
35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,7.767586368609408
27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,4.653888068817141
37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,7.641304180335232
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,9.082299255534943
33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,12.409319975483685
30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,7.5420430122694375
22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,10.873819469959228
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,9.321016699234136
30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,1.519390184386192
36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,4.527281067477824
33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,7.557322164983598
30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,9.082231252559069
22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20.166247694223742
34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,10.702585048255301
31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,1.5116504081151727
35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,10.587807152775055
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,12.572369364893285
,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,6.2069646964895275
32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,10.899409933062419
33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,7.568768735818157
24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20.273758666562873
20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,6.1239881224197825
35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,9.32097200160514
28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,1.5429930126708236
26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20.168266432962156
23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,4.4028449748940055
31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,12.249325837163402
29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,17.062905365446095
,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,1.5357539319519053
39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,7.756549467663642
21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,3.103542949505919
26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,1.5715464192431179
29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,1.5283375300754962
34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,16.37461375658707
30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,7.5575699822418985
34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,7.758323061475977
33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,10.418929518264669
23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,13.174989739321175
33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,3.027620152206426
23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,14.013494453761538
31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,6.213956836833561
39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,4.541379283335454
20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,16.814819673345152
37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,3.1141707768991953
,,Stormy,Low,2,Snack,scooter,1.0,No,,14,16.710789728068644
31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,12.572369364893285
22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,10.874103898171294
30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,13.757114163780207
38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,19.355542058694184
34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,17.287005375714283
34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,10.580306131984912
28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,12.411804456720409
27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,7.568768735818157
,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,6.03381503164546
22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,14.143914925457633
31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,12.098910308045175
35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,1.5715464192431179
30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,1.5313265174459925
35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,7.767643261274236
35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,12.410213337676835
24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,9.30699144882563
36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,12.154670102713437
27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,10.899211189677402
39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,16.892297577472117
22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,10.899441578120406
39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,13.574550595405238
29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,12.572369364893285
39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,4.671249695086452
34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,1.5358636525788323
36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,1.5195150457506466
35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,4.587886764317969
27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,4.491385798284214
29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,16.402442137706053
,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20.16981113838186
30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,19.35127225087194
23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,1.5084101244065218
23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,6.114629729291461
32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,4.6072258769641135
26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,3.114282044402332
25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,13.96336899093685
36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,1.5536437479233278
23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20.17005649147076
24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,1.488845314879444
26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,10.860462270660445
36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,19.96337514512871
31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,7.785269594495743
37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,9.069654573328071
38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,13.603901048475308
26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,7.568470802296944
20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,7.767738959675134
26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,4432.135277225492
35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,3.05083450609458
34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,6.228559185037046
22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,6.143545035789211
25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,9.08230517247395
36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,4.594065456370285
34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,10.859439533182968
37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,16.81149490339973
26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,3.107072412826962
28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,7.756412101129277
25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,3.0178967554443865
32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,16.597886596324688
26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,12.231002348019677
37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,19.962745479962027
31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,7.4436418581029615
27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,10.874246219558394
39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,7.757761703402412
28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,4.7146391697631795
28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,12.15349604552493
26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,9.321084997023739
39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,1.5514543257090954
26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,7.767216569613665
30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,12.249422663504546
33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,16.649519245743075
27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,19.3838021046144
37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,1.5282026863007672
27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,3.1030997025625227
39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,19.64750814436777
28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,3.027635308662997
34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,13.96440966219676
31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,3.057686113597521
38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,7.320700415292375
34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,1.5311643441941674
,,,,3,Snack,electric_scooter,2.0,No,Urban,40,10.74966218771771
,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,7.75647748051162
37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,12.285959150240918
28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,16.626608894749314
37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,16.814819673345152
37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,14.143914925457633
37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,1.5126940336173456
22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,2.9776503730834767
39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,4.541379283335454
26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,16.628143728830604
35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,10.860598209636095
30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,4.654730651662906
27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,4.534546091070691
30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,16.589938675452068
30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,6.142774513186105
23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,3.0859499091294786
32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,7.785269594495743
31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,1.5138303551264662
32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,19.459807860635095
20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,3.1430928207904922
24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,7.767586368609408
37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,1.5117480697092467
27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20.240252127058817
20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,7.56011035158883
36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,13.755137066510976
24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,4.525727513680433
28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,13.397475197267998
32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,1.5535383855306741
33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,1.5515822165907143
21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,11.909113286148889
38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20.166247694223742
28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,4.536218371939972
36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,12.45614466445012
26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,7.6787842827720985
30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,3.062343187314711
23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,13.607284827166588
38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,4.53509172254809
33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,9.068986669637898
28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,6.049688788018176
28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,3.0233803666366406
22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,17.126731739396558
27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,3.0389823453935816
20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,13.573809892620162
25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,3.0567769270688787
21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,9.082372237981877
29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,19.676191647335305
34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,16.84186389146715
22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,16.46621770395698
27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,9.175387461390038
26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,3.1031459198477402
22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,13.963422215563368
20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,3411.3101501085766
37.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,7.756906831987053
35.0,4.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,1.5571411029183064
39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,50,12.40989118188442
25.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,16.10335306145925
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,17.127535598532056
30.0,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,3.102486293902788
25.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,16,1.5514543257090954
24.0,4.9,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,12,20.16636374200978
24.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,24,12.411804456720409
,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,4.660511100749279
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,12.153979872865895
30.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,31,13.964954152731949
26.0,5.0,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,6.28618544846543
33.0,4.2,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,39,4.466814646546826
30.0,5.0,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,24,3.0624807571897663
39.0,4.1,Stormy,Jam,2,Meal,scooter,3.0,Yes,Metropolitian,42,19.827169471341538
36.0,4.9,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,41,20.274032520550765
24.0,4.3,Stormy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,37,6.03373854445631
32.0,4.7,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,29,19.87802606468106
20.0,5.0,Sandstorms,Low,1,Snack,motorcycle,,No,Metropolitian,10,10.420688970746383
